CH1,CH2,CH3
-0.1048,-0.32,-0.32
-0.1047,-0.32,-0.32
-0.1046,-0.32,-0.28
-0.1045,-0.28,-0.28
-0.1044,-0.28,-0.28
-0.1043,-0.28,-0.28
-0.1042,-0.24,-0.28
-0.1041,-0.24,-0.24
-0.104,-0.24,-0.28
-0.1039,-0.24,-0.24
-0.1038,-0.2,-0.24
-0.1037,-0.2,-0.2
-0.1036,-0.2,-0.2
-0.1035,-0.2,-0.16
-0.1034,-0.16,-0.2
-0.1033,-0.16,-0.16
-0.1032,-0.16,-0.16
-0.1031,-0.16,-0.12
-0.103,-0.16,-0.12
-0.1029,-0.12,-0.12
-0.1028,-0.12,-0.12
-0.1027,-0.12,-0.12
-0.1026,-0.12,-0.12
-0.1025,-0.12,-0.12
-0.1024,-0.08,-0.08
-0.1023,-0.04,-0.08
-0.1022,-0.08,-0.08
-0.1021,-0.04,-0.04
-0.102,-0.04,-0.04
-0.1019,0,-0.04
-0.1018,0,-0.04
-0.1017,0,-0.04
-0.1016,0,0
-0.1015,0,0
-0.1014,0.04,0
-0.1013,0.04,0.04
-0.1012,0.04,0.04
-0.1011,0.08,0.04
-0.101,0.08,0.08
-0.1009,0.08,0.08
-0.1008,0.08,0.08
-0.1007,0.12,0.12
-0.1006,0.08,0.12
-0.1005,0.12,0.12
-0.1004,0.12,0.12
-0.1003,0.12,0.16
-0.1002,0.16,0.16
-0.1001,0.16,0.16
-0.1,0.16,0.16
-0.0999,0.16,0.16
-0.0998,0.16,0.2
-0.0997,0.2,0.2
-0.0996,0.2,0.2
-0.0995,0.2,0.24
-0.0994,0.2,0.2
-0.0993,0.24,0.24
-0.0992,0.24,0.24
-0.0991,0.24,0.24
-0.099,0.24,0.24
-0.0989,0.28,0.28
-0.0988,0.28,0.28
-0.0987,0.28,0.28
-0.0986,0.28,0.32
-0.0985,0.32,0.32
-0.0984,0.36,0.32
-0.0983,0.36,0.32
-0.0982,0.36,0.32
-0.0981,0.36,0.36
-0.098,0.36,0.36
-0.0979,0.4,0.4
-0.0978,0.4,0.36
-0.0977,0.4,0.36
-0.0976,0.4,0.36
-0.0975,0.44,0.4
-0.0974,0.44,0.44
-0.0973,0.44,0.4
-0.0972,0.44,0.44
-0.0971,0.44,0.44
-0.097,0.48,0.44
-0.0969,0.48,0.44
-0.0968,0.48,0.44
-0.0967,0.48,0.44
-0.0966,0.52,0.44
-0.0965,0.52,0.48
-0.0964,0.52,0.48
-0.0963,0.52,0.48
-0.0962,0.56,0.48
-0.0961,0.56,0.48
-0.096,0.56,0.48
-0.0959,0.56,0.52
-0.0958,0.6,0.52
-0.0957,0.6,0.52
-0.0956,0.6,0.52
-0.0955,0.6,0.52
-0.0954,0.64,0.52
-0.0953,0.64,0.52
-0.0952,0.64,0.52
-0.0951,0.64,0.52
-0.095,0.68,0.56
-0.0949,0.68,0.52
-0.0948,0.68,0.52
-0.0947,0.72,0.52
-0.0946,0.68,0.52
-0.0945,0.72,0.56
-0.0944,0.72,0.52
-0.0943,0.72,0.52
-0.0942,0.76,0.52
-0.0941,0.76,0.52
-0.094,0.76,0.52
-0.0939,0.76,0.56
-0.0938,0.8,0.56
-0.0937,0.8,0.56
-0.0936,0.8,0.56
-0.0935,0.8,0.56
-0.0934,0.84,0.56
-0.0933,0.84,0.56
-0.0932,0.84,0.56
-0.0931,0.84,0.56
-0.093,0.88,0.56
-0.0929,0.88,0.56
-0.0928,0.88,0.56
-0.0927,0.88,0.56
-0.0926,0.88,0.56
-0.0925,0.88,0.56
-0.0924,0.88,0.6
-0.0923,0.92,0.56
-0.0922,0.92,0.56
-0.0921,0.96,0.56
-0.092,0.96,0.56
-0.0919,0.96,0.6
-0.0918,0.96,0.6
-0.0917,1,0.56
-0.0916,1,0.56
-0.0915,1.04,0.56
-0.0914,1.04,0.6
-0.0913,1.04,0.56
-0.0912,1.04,0.56
-0.0911,1.04,0.56
-0.091,1.08,0.6
-0.0909,1.08,0.6
-0.0908,1.08,0.6
-0.0907,1.12,0.6
-0.0906,1.08,0.64
-0.0905,1.12,0.56
-0.0904,1.12,0.56
-0.0903,1.12,0.6
-0.0902,1.12,0.56
-0.0901,1.12,0.6
-0.09,1.16,0.6
-0.0899,1.16,0.6
-0.0898,1.16,0.6
-0.0897,1.16,0.6
-0.0896,1.2,0.6
-0.0895,1.2,0.56
-0.0894,1.2,0.56
-0.0893,1.2,0.6
-0.0892,1.24,0.6
-0.0891,1.24,0.6
-0.089,1.24,0.6
-0.0889,1.28,0.6
-0.0888,1.28,0.6
-0.0887,1.28,0.6
-0.0886,1.28,0.56
-0.0885,1.28,0.6
-0.0884,1.32,0.6
-0.0883,1.32,0.6
-0.0882,1.32,0.6
-0.0881,1.32,0.6
-0.088,1.36,0.6
-0.0879,1.36,0.6
-0.0878,1.36,0.6
-0.0877,1.36,0.6
-0.0876,1.4,0.6
-0.0875,1.4,0.56
-0.0874,1.44,0.6
-0.0873,1.44,0.6
-0.0872,1.4,0.6
-0.0871,1.44,0.6
-0.087,1.44,0.6
-0.0869,1.48,0.6
-0.0868,1.48,0.6
-0.0867,1.48,0.6
-0.0866,1.48,0.64
-0.0865,1.48,0.6
-0.0864,1.48,0.64
-0.0863,1.52,0.6
-0.0862,1.52,0.6
-0.0861,1.52,0.6
-0.086,1.56,0.6
-0.0859,1.56,0.64
-0.0858,1.56,0.6
-0.0857,1.56,0.6
-0.0856,1.56,0.64
-0.0855,1.6,0.64
-0.0854,1.6,0.6
-0.0853,1.6,0.64
-0.0852,1.6,0.6
-0.0851,1.64,0.6
-0.085,1.68,0.6
-0.0849,1.68,0.64
-0.0848,1.68,0.6
-0.0847,1.68,0.64
-0.0846,1.68,0.64
-0.0845,1.68,0.64
-0.0844,1.72,0.64
-0.0843,1.72,0.64
-0.0842,1.72,0.64
-0.0841,1.72,0.64
-0.084,1.76,0.64
-0.0839,1.76,0.64
-0.0838,1.76,0.64
-0.0837,1.8,0.64
-0.0836,1.8,0.64
-0.0835,1.8,0.64
-0.0834,1.8,0.64
-0.0833,1.84,0.64
-0.0832,1.84,0.64
-0.0831,1.84,0.6
-0.083,1.84,0.64
-0.0829,1.88,0.64
-0.0828,1.88,0.64
-0.0827,1.88,0.64
-0.0826,1.88,0.64
-0.0825,1.88,0.64
-0.0824,1.92,0.64
-0.0823,1.92,0.64
-0.0822,1.92,0.64
-0.0821,1.92,0.64
-0.082,1.92,0.64
-0.0819,1.96,0.64
-0.0818,1.96,0.64
-0.0817,1.96,0.68
-0.0816,1.96,0.64
-0.0815,2,0.64
