CH1,CH2,CH3
-9.4e-09,-0.48,-0.98
-9.2e-09,-0.46,-0.98
-9e-09,-0.42,-0.98
-8.8e-09,-0.4,-0.98
-8.6e-09,-0.38,-0.98
-8.4e-09,-0.34,-0.98
-8.2e-09,-0.32,-0.98
-8e-09,-0.28,-0.98
-7.8e-09,-0.26,-0.98
-7.6e-09,-0.24,-0.98
-7.4e-09,-0.22,-0.98
-7.2e-09,-0.2,-0.98
-7e-09,-0.16,-0.96
-6.8e-09,-0.14,-0.96
-6.6e-09,-0.12,-0.96
-6.4e-09,-0.1,-0.96
-6.2e-09,-0.08,-0.96
-6e-09,-0.04,-0.96
-5.8e-09,-0.02,-0.98
-5.6e-09,0,-0.98
-5.4e-09,0.02,-0.98
-5.2e-09,0.04,-0.98
-5e-09,0.06,-0.98
-4.8e-09,0.08,-1
-4.6e-09,0.1,-1
-4.4e-09,0.12,-1
-4.2e-09,0.14,-1
-4e-09,0.16,-0.98
-3.8e-09,0.18,-0.98
-3.6e-09,0.18,-0.98
-3.4e-09,0.2,-0.96
-3.2e-09,0.22,-0.96
-3e-09,0.24,-0.94
-2.8e-09,0.24,-0.94
-2.6e-09,0.26,-0.96
-2.4e-09,0.26,-0.96
-2.2e-09,0.26,-0.96
-2e-09,0.28,-0.96
-1.8e-09,0.28,-0.96
-1.6e-09,0.28,-0.98
-1.4e-09,0.3,-0.98
-1.2e-09,0.3,-0.96
-1e-09,0.32,-0.96
-8e-10,0.32,-0.96
-6e-10,0.34,-0.96
-4e-10,0.34,-0.96
-2e-10,0.36,-0.96
0,0.38,-0.94
2e-10,0.38,-0.94
4e-10,0.4,-0.94
6e-10,0.4,-0.94
8e-10,0.42,-0.94
1e-09,0.44,-0.94
1.2e-09,0.44,-0.94
1.4e-09,0.46,-0.94
1.6e-09,0.46,-0.92
1.8e-09,0.46,-0.92
2e-09,0.48,-0.9
2.2e-09,0.48,-0.9
2.4e-09,0.48,-0.9
2.6e-09,0.48,-0.9
2.8e-09,0.48,-0.9
3e-09,0.48,-0.9
3.2e-09,0.48,-0.9
3.4e-09,0.5,-0.9
3.6e-09,0.5,-0.9
3.8e-09,0.52,-0.9
4e-09,0.54,-0.88
4.2e-09,0.54,-0.88
4.4e-09,0.54,-0.88
4.6e-09,0.56,-0.88
4.8e-09,0.56,-0.88
5e-09,0.58,-0.88
5.2e-09,0.58,-0.88
5.4e-09,0.58,-0.88
5.6e-09,0.6,-0.88
5.8e-09,0.6,-0.88
6e-09,0.62,-0.86
6.2e-09,0.62,-0.86
6.4e-09,0.62,-0.86
6.6e-09,0.64,-0.86
6.8e-09,0.64,-0.86
7e-09,0.66,-0.84
7.2e-09,0.66,-0.84
7.4e-09,0.66,-0.84
7.6e-09,0.68,-0.84
7.8e-09,0.68,-0.84
8e-09,0.7,-0.84
8.2e-09,0.7,-0.84
8.4e-09,0.7,-0.84
8.6e-09,0.7,-0.84
8.8e-09,0.7,-0.84
9e-09,0.72,-0.84
9.2e-09,0.72,-0.84
9.4e-09,0.72,-0.84
9.6e-09,0.74,-0.84
9.8e-09,0.74,-0.84
1e-08,0.76,-0.84
1.02e-08,0.76,-0.84
1.04e-08,0.76,-0.84
1.06e-08,0.76,-0.84
1.08e-08,0.76,-0.84
1.1e-08,0.76,-0.84
1.12e-08,0.76,-0.84
1.14e-08,0.76,-0.84
1.16e-08,0.76,-0.84
1.18e-08,0.76,-0.84
1.2e-08,0.78,-0.84
1.22e-08,0.78,-0.84
1.24e-08,0.78,-0.84
1.26e-08,0.78,-0.84
1.28e-08,0.78,-0.84
1.3e-08,0.8,-0.84
1.32e-08,0.8,-0.84
1.34e-08,0.8,-0.84
1.36e-08,0.8,-0.84
1.38e-08,0.8,-0.84
1.4e-08,0.82,-0.82
1.42e-08,0.82,-0.82
1.44e-08,0.82,-0.82
1.46e-08,0.82,-0.82
1.48e-08,0.82,-0.8
1.5e-08,0.82,-0.8
1.52e-08,0.82,-0.82
1.54e-08,0.82,-0.82
1.56e-08,0.82,-0.82
1.58e-08,0.82,-0.82
1.6e-08,0.84,-0.82
1.62e-08,0.84,-0.82
1.64e-08,0.84,-0.82
1.66e-08,0.84,-0.82
1.68e-08,0.84,-0.82
1.7e-08,0.86,-0.8
1.72e-08,0.86,-0.8
1.74e-08,0.86,-0.8
1.76e-08,0.86,-0.78
1.78e-08,0.86,-0.78
1.8e-08,0.88,-0.76
1.82e-08,0.88,-0.76
1.84e-08,0.88,-0.76
1.86e-08,0.88,-0.76
1.88e-08,0.88,-0.76
1.9e-08,0.9,-0.76
1.92e-08,0.9,-0.78
1.94e-08,0.9,-0.78
1.96e-08,0.9,-0.78
1.98e-08,0.9,-0.78
2e-08,0.9,-0.78
2.02e-08,0.88,-0.78
2.04e-08,0.88,-0.78
2.06e-08,0.88,-0.78
2.08e-08,0.88,-0.78
2.1e-08,0.88,-0.76
2.12e-08,0.88,-0.76
2.14e-08,0.88,-0.76
2.16e-08,0.88,-0.76
2.18e-08,0.88,-0.74
2.2e-08,0.9,-0.74
2.22e-08,0.9,-0.76
2.24e-08,0.9,-0.76
2.26e-08,0.9,-0.76
2.28e-08,0.9,-0.76
2.3e-08,0.9,-0.76
2.32e-08,0.88,-0.76
2.34e-08,0.88,-0.76
2.36e-08,0.88,-0.76
2.38e-08,0.88,-0.76
