CH1,CH2,CH3
-4.26e-07,-1.02,-0.98
-4.256e-07,-1.02,-0.98
-4.252e-07,-1.02,-1
-4.248e-07,-1.02,-1
-4.244e-07,-1.02,-1
-4.24e-07,-1.02,-1.02
-4.236e-07,-1.02,-1
-4.232e-07,-1.02,-1
-4.228e-07,-1.02,-1
-4.224e-07,-1.02,-1
-4.22e-07,-1.02,-1
-4.216e-07,-1,-1
-4.212e-07,-1.02,-1
-4.208e-07,-1.02,-0.98
-4.204e-07,-1.04,-0.96
-4.2e-07,-1.04,-0.96
-4.196e-07,-1.02,-0.96
-4.192e-07,-1.02,-0.98
-4.188e-07,-1,-0.98
-4.184e-07,-0.98,-0.98
-4.18e-07,-1,-0.98
-4.176e-07,-1,-0.96
-4.172e-07,-1.02,-0.96
-4.168e-07,-1.02,-0.94
-4.164e-07,-1.02,-0.96
-4.16e-07,-1.02,-0.96
-4.156e-07,-1.02,-0.96
-4.152e-07,-1.02,-0.96
-4.148e-07,-1.02,-0.96
-4.144e-07,-1.02,-0.96
-4.14e-07,-1.02,-0.96
-4.136e-07,-1,-0.96
-4.132e-07,-1.02,-0.98
-4.128e-07,-1.02,-0.98
-4.124e-07,-1.02,-0.98
-4.12e-07,-1.02,-0.98
-4.116e-07,-1.02,-0.96
-4.112e-07,-1.02,-0.98
-4.108e-07,-1.02,-0.98
-4.104e-07,-1.02,-0.98
-4.1e-07,-1.02,-0.98
-4.096e-07,-1.02,-0.96
-4.092e-07,-1.02,-0.98
-4.088e-07,-1.02,-0.98
-4.084e-07,-1.02,-0.98
-4.08e-07,-1.02,-0.98
-4.076e-07,-1.02,-0.98
-4.072e-07,-1.02,-0.98
-4.068e-07,-1.02,-0.98
-4.064e-07,-1.02,-0.98
-4.06e-07,-1.02,-0.98
-4.056e-07,-1.02,-0.98
-4.052e-07,-1.02,-0.98
-4.048e-07,-1.02,-0.98
-4.044e-07,-1.02,-0.98
-4.04e-07,-1.02,-0.98
-4.036e-07,-1,-0.96
-4.032e-07,-1.02,-0.96
-4.028e-07,-1.02,-0.96
-4.024e-07,-1.02,-0.98
-4.02e-07,-1.02,-0.98
-4.016e-07,-1,-0.98
-4.012e-07,-1,-0.98
-4.008e-07,-1,-0.98
-4.004e-07,-1,-0.98
-4e-07,-1,-0.98
-3.996e-07,-1,-0.98
-3.992e-07,-1.02,-0.98
-3.988e-07,-1.02,-0.98
-3.984e-07,-1.02,-0.98
-3.98e-07,-1.02,-0.98
-3.976e-07,-1.02,-0.96
-3.972e-07,-1.02,-0.96
-3.968e-07,-1.02,-0.96
-3.964e-07,-1.04,-0.96
-3.96e-07,-1.04,-0.96
-3.956e-07,-1.04,-0.94
-3.952e-07,-1.04,-0.96
-3.948e-07,-1.04,-0.96
-3.944e-07,-1.02,-0.96
-3.94e-07,-1.02,-0.96
-3.936e-07,-1.02,-0.96
-3.932e-07,-1.02,-0.96
-3.928e-07,-1.02,-0.96
-3.924e-07,-1.02,-0.98
-3.92e-07,-1.02,-0.98
-3.916e-07,-1.02,-0.98
-3.912e-07,-1.02,-1
-3.908e-07,-1.02,-0.98
-3.904e-07,-1.04,-0.98
-3.9e-07,-1.04,-0.98
-3.896e-07,-1.04,-0.96
-3.892e-07,-1.06,-0.96
-3.888e-07,-1.04,-0.96
-3.884e-07,-1.04,-0.96
-3.88e-07,-1.04,-0.96
-3.876e-07,-1.02,-0.96
-3.872e-07,-1.04,-0.96
-3.868e-07,-1.04,-0.96
-3.864e-07,-1.04,-0.96
-3.86e-07,-1.06,-0.96
-3.856e-07,-1.04,-0.96
-3.852e-07,-1.04,-0.96
-3.848e-07,-1.04,-0.96
-3.844e-07,-1.02,-0.96
-3.84e-07,-1.02,-0.96
-3.836e-07,-1.02,-0.96
-3.832e-07,-1.02,-0.98
-3.828e-07,-1.02,-0.98
-3.824e-07,-1.02,-0.98
-3.82e-07,-1.02,-0.98
-3.816e-07,-1.02,-0.96
-3.812e-07,-1.02,-0.98
-3.808e-07,-1.02,-0.98
-3.804e-07,-1.02,-0.98
-3.8e-07,-1.02,-0.98
-3.796e-07,-1.02,-0.98
-3.792e-07,-1.02,-0.98
-3.788e-07,-1.02,-0.98
-3.784e-07,-1.02,-0.98
-3.78e-07,-1.02,-0.98
-3.776e-07,-1.02,-0.98
-3.772e-07,-1.02,-0.98
-3.768e-07,-1.02,-0.98
-3.764e-07,-1.02,-0.98
-3.76e-07,-1.02,-0.98
-3.756e-07,-1.02,-0.98
-3.752e-07,-1.04,-0.98
-3.748e-07,-1.02,-0.98
-3.744e-07,-1.02,-0.98
-3.74e-07,-1.02,-0.98
-3.736e-07,-1,-0.98
-3.732e-07,-1,-1
-3.728e-07,-1,-0.98
-3.724e-07,-1,-0.98
-3.72e-07,-1,-0.98
-3.716e-07,-1,-0.96
-3.712e-07,-1,-0.96
-3.708e-07,-1,-0.96
-3.704e-07,-1.02,-0.98
-3.7e-07,-1.02,-1
-3.696e-07,-1.02,-1
-3.692e-07,-1.04,-1
-3.688e-07,-1.04,-1
-3.684e-07,-1.04,-0.98
-3.68e-07,-1.04,-0.98
-3.676e-07,-1.04,-0.98
-3.672e-07,-1.06,-0.98
-3.668e-07,-1.04,-0.98
-3.664e-07,-1.04,-0.98
-3.66e-07,-1.02,-0.98
-3.656e-07,-1,-0.98
-3.652e-07,-1.02,-0.98
-3.648e-07,-1.02,-0.98
-3.644e-07,-1.02,-0.96
-3.64e-07,-1.02,-0.96
-3.636e-07,-1.02,-0.96
-3.632e-07,-1.02,-0.98
-3.628e-07,-1.02,-0.98
-3.624e-07,-1.02,-0.98
-3.62e-07,-1.02,-0.98
-3.616e-07,-1.02,-0.98
-3.612e-07,-1.04,-0.98
-3.608e-07,-1.04,-0.98
-3.604e-07,-1.04,-0.98
-3.6e-07,-1.06,-0.98
-3.596e-07,-1.04,-0.98
-3.592e-07,-1.04,-0.98
-3.588e-07,-1.04,-0.98
-3.584e-07,-1.04,-1
-3.58e-07,-1.04,-1
-3.576e-07,-1.04,-1
-3.572e-07,-1.06,-1.02
-3.568e-07,-1.04,-1
-3.564e-07,-1.04,-1
-3.56e-07,-1.04,-1
-3.556e-07,-1.02,-0.98
-3.552e-07,-1.02,-0.98
-3.548e-07,-1.02,-0.98
-3.544e-07,-1.02,-0.96
-3.54e-07,-1.02,-0.96
-3.536e-07,-1.02,-0.96
-3.532e-07,-1.04,-0.96
-3.528e-07,-1.04,-0.96
-3.524e-07,-1.04,-0.96
-3.52e-07,-1.04,-0.96
-3.516e-07,-1.02,-0.96
-3.512e-07,-1.02,-0.96
-3.508e-07,-1.02,-0.96
-3.504e-07,-1.02,-0.96
-3.5e-07,-1.02,-0.96
-3.496e-07,-1.02,-0.96
-3.492e-07,-1.02,-0.98
-3.488e-07,-1.02,-1
-3.484e-07,-1.02,-1
-3.48e-07,-1.02,-1
-3.476e-07,-1.02,-0.98
-3.472e-07,-1.02,-0.98
-3.468e-07,-1.02,-0.98
-3.464e-07,-1.02,-0.96
-3.46e-07,-1.02,-0.96
-3.456e-07,-1.02,-0.96
-3.452e-07,-1.02,-0.98
-3.448e-07,-1.02,-0.98
-3.444e-07,-1.02,-0.98
-3.44e-07,-1.02,-0.98
-3.436e-07,-1.02,-0.98
-3.432e-07,-1.02,-0.98
-3.428e-07,-1.02,-0.98
-3.424e-07,-1.02,-0.98
-3.42e-07,-1.02,-0.98
-3.416e-07,-1.02,-0.96
-3.412e-07,-1.04,-0.96
-3.408e-07,-1.04,-0.96
-3.404e-07,-1.04,-0.98
-3.4e-07,-1.04,-0.98
-3.396e-07,-1.02,-0.98
-3.392e-07,-1.02,-1
-3.388e-07,-1.02,-1
-3.384e-07,-1.02,-1
-3.38e-07,-1.02,-1
-3.376e-07,-1.02,-0.98
-3.372e-07,-1.02,-0.98
-3.368e-07,-1.02,-0.98
-3.364e-07,-1.02,-1
-3.36e-07,-1.02,-1
-3.356e-07,-1,-1
-3.352e-07,-1.02,-1
-3.348e-07,-1.02,-1
-3.344e-07,-1.02,-0.98
-3.34e-07,-1.02,-0.98
-3.336e-07,-1.02,-0.98
-3.332e-07,-1.04,-0.98
-3.328e-07,-1.04,-0.98
-3.324e-07,-1.06,-1
-3.32e-07,-1.06,-1
-3.316e-07,-1.04,-1
-3.312e-07,-1.04,-1.02
-3.308e-07,-1.02,-1
-3.304e-07,-1,-1
-3.3e-07,-1,-1
